# # wavelength [nm], r, g, b
730.00000000,0.99824838,0.44851396,0.08337140
735.00000000,0.99885422,0.45745774,0.08285747
740.00000000,0.98991106,0.47110553,0.08461817
745.00000000,0.97702147,0.49204355,0.08725445
750.00000000,0.96608040,0.51381910,0.09045226
755.00000000,0.95159827,0.53810429,0.09744746
760.00000000,0.94416131,0.55806812,0.10655938
765.00000000,0.93690041,0.57600115,0.12269682
770.00000000,0.93129283,0.59594462,0.15201005
775.00000000,0.92774478,0.61865462,0.18948911
780.00000000,0.92622202,0.64116299,0.25125628
785.00000000,0.92382366,0.66545982,0.34597990
790.00000000,0.92251768,0.69622999,0.43366834
795.00000000,0.91888261,0.72113461,0.53643216
800.00000000,0.90962141,0.73964995,0.61557789
805.00000000,0.89537968,0.75239624,0.68555077
810.00000000,0.87636388,0.75857613,0.74167714
815.00000000,0.85902506,0.75917085,0.77010050
820.00000000,0.84210985,0.75665258,0.78825842
825.00000000,0.82582473,0.75365464,0.79545032
830.00000000,0.81026159,0.75154180,0.79373121
835.00000000,0.79601712,0.74859144,0.78746003
840.00000000,0.78444886,0.74659281,0.77881745
845.00000000,0.77591080,0.74530608,0.76933366
850.00000000,0.77030988,0.74497487,0.76271509
855.00000000,0.76381910,0.74199406,0.75629283
860.00000000,0.75628141,0.73804629,0.75014276
865.00000000,0.74874372,0.73246916,0.74406122
870.00000000,0.73869347,0.72418913,0.73738008
875.00000000,0.72468244,0.71042714,0.73054667
880.00000000,0.71024829,0.69325141,0.72207629
885.00000000,0.69354585,0.67713568,0.70854271
890.00000000,0.67777254,0.66036781,0.69503769
895.00000000,0.66045505,0.64244254,0.68145415
900.00000000,0.64258794,0.62562814,0.66206030
905.00000000,0.62390075,0.60763889,0.64154104
910.00000000,0.60678392,0.59314908,0.62060302
915.00000000,0.59204975,0.57702575,0.60080786
920.00000000,0.57500465,0.56344221,0.58173972
925.00000000,0.56113903,0.54962312,0.56520101
930.00000000,0.54974874,0.53605528,0.55096664
935.00000000,0.53437519,0.52331972,0.53430346
940.00000000,0.51918592,0.50743719,0.51786711
945.00000000,0.50477503,0.49470733,0.50516471
950.00000000,0.48994975,0.47738693,0.48994975
955.00000000,0.47110553,0.46084590,0.46969221
960.00000000,0.45603015,0.44409548,0.45552764
965.00000000,0.44221106,0.42984366,0.44000728
970.00000000,0.41834171,0.40706426,0.42211055
975.00000000,0.40250442,0.39325098,0.40415426
980.00000000,0.38513458,0.37349246,0.38400335
985.00000000,0.36180905,0.35134003,0.36306533
990.00000000,0.34045226,0.33354271,0.34254606
995.00000000,0.31825796,0.31344221,0.32077052
1000.00000000,0.29773869,0.29396985,0.29899497
