b,,r,,g,
X,Y,X,Y,X,Y
776.4775907939996,7.517307020252545,735.8347853178404,24.79488088060056,877.130609371935,14.49181009478687
779.3787814099827,8.267414264608817,740.722376715938,25.117254810069078,882.0182007700326,13.950221893279775
781.9706859392769,8.910442795922009,745.6099681140356,25.527314448353025,886.9057921681302,13.310632017214246
783.7479919022214,9.5463791007869,750.4975595121332,25.914163163715237,891.7933835662278,12.593672398076265
785.5252978651661,10.229596915307162,755.3851509102308,26.228800118876514,896.6809749643254,11.819974967351826
787.0211970506444,10.908559393958448,760.2727423083285,26.396434562200135,901.5685663624231,11.051435519498895
788.7096377154418,11.611076661056238,765.1603337064261,26.350012716356673,906.4561577605207,10.303528003131952
790.2647804330184,12.363884261151114,770.0479251045236,26.04827071837414,911.3437491586183,9.63556922127318
791.8643557996684,13.118497155251006,774.6527632812437,25.46799764533081,916.2313405567158,8.990821362336163
793.3548692095015,13.85479921015709,777.7403274753932,24.83840136107881,921.1189319548135,8.415706272164329
794.2637188496436,14.526304105240001,781.5220033064747,24.25663019742207,926.0065233529111,7.897328993578967
795.7784682498806,15.260349542639808,785.1550257895526,23.586623392952575,930.8941147510087,7.435689526580049
797.1518410394286,15.972724288114229,788.6071008329642,23.037794177029717,935.7817061491063,7.007576948245855
798.7675737330146,16.619478029279065,793.5972291135395,22.533105391449467,940.669297547204,6.594938318526161
800.1813398399023,17.26422588821609,798.484820511637,22.10241382167954,945.5568889453016,6.171983723063477
801.5951059467901,17.932700468362,803.3724119097346,21.79809283226126,950.4444803433992,5.764503076215277
803.8167384004709,18.59369597334424,808.2600033078322,21.571141585915427,955.3320717414967,5.349285455059828
806.4485183840618,19.26036525948512,813.1475947059299,21.28229454511164,960.2196631395944,4.9521207739546185
809.0802983676529,19.90630342216172,818.6035178411394,20.921448080274658,965.107254537692,4.575588024335403
813.591921196666,20.45185930280075,823.3671039928613,20.421272178611957,969.9948459357896,4.235161154816652
818.4795125947636,20.6530206347891,828.0325321455908,19.833417156508354,974.8824373338872,3.9359981482698743
823.3671039928613,20.761338275090523,831.4982787733327,19.300081727595646,979.7700287319848,3.654888081773322
828.2546953909589,20.761338275090523,836.2155450166482,18.711899747482697,984.479889533788,3.4594348222424856
833.1422867890565,20.64528366048185,839.5532832982494,18.316085966653354,989.26750747147,3.2614025712758945
838.029878187154,20.402858465521533,843.806122566724,17.820187859165635,993.7663131901735,3.1059236789991473
842.9174695852518,19.912850092729393,848.6937139648217,17.197550743978304,998.6539045882711,2.8789724326533133
847.6463729509435,19.187416644588247,853.5813053629192,16.75838279376927,1003.9858224771049,2.7382280828591945
