b,,g,,r,
X,Y,X,Y,X,Y
477.50869468993693,0.7724190688802209,476.4236274430696,0.4521313928770202,518.1987164474604,0.06697423698358851
478.7487715434995,0.7605975250717408,476.9031884137833,0.4634595445209446,520.5432367487272,0.07188829048829004
479.85321499120374,0.7491468532258798,477.32946483219547,0.4754433448130705,522.887757049994,0.07629239504439045
481.0932918447663,0.7372789504220723,477.8445488377768,0.488135407533809,525.2322773512608,0.07981567868927075
482.2849281962367,0.7253183296276101,478.12873311671825,0.4998480444961233,527.5767976525276,0.08023290964721708
483.4571883468701,0.7134875140200645,478.6082940874319,0.5111397712151476,529.9213179537944,0.08023290964721708
484.6197603970851,0.7022779089499058,479.12337809301323,0.5238318339358862,532.2658382550612,0.08023290964721708
485.48200133432783,0.6907055447413104,479.40756237195467,0.5355444708982003,534.610358556328,0.0799547556752529
486.5358513687356,0.6785163483448868,479.97593092983755,0.5476294515372708,536.9548788575948,0.07666326700700943
487.4002452171825,0.665973020734157,480.36668431338205,0.5599673830437031,539.2993991588617,0.07235188044156371
488.2527980540068,0.6539254768234559,480.79296073179415,0.5717599524801036,541.6439194601286,0.06748418593218963
488.99878178622805,0.6427065999542317,481.2192371502063,0.5834887782979288,543.9884397613954,0.06238469644617861
489.9460627160328,0.6309211131421174,481.53894446401546,0.5944071495367275,546.3329600626622,0.060344900651774225
490.8104565644797,0.619248948318581,482.1073130218983,0.6064435636092645,548.677480363929,0.060344900651774225
491.67485041292656,0.6079734104550678,482.3914973008397,0.6180105008719784,551.0220006651958,0.060344900651774225
492.7168594357118,0.5965278896086876,482.9598658587226,0.6300145372334932,553.3665209664626,0.060344900651774225
493.58125328415866,0.5854648304737582,483.24405013766403,0.6414681525076291,555.7110412677295,0.060344900651774225
494.44564713260553,0.5743167798473952,483.8124186955469,0.6534155278748548,558.0555615689964,0.060344900651774225
495.4876561553908,0.5623046490581247,484.09660297448835,0.6646344047440791,560.4000818702632,0.062431055441505956
496.35205000383763,0.5502146094017071,484.40341965791606,0.6771564844819505,561.9986184393088,0.06882827575100947
497.20460284066195,0.5386132708210319,484.9152072045831,0.6924800658460399,563.7447122301123,0.07623731348505824
498.0571556774862,0.5269481886217817,485.90008012930895,0.7093843863259357,565.3991416861875,0.08811393885287055
498.9097085143105,0.5152831064225316,486.65426148496124,0.7258282785762112,566.3679517280332,0.10286189424139103
499.76226135113484,0.5037455114604317,487.2936761125794,0.7398802051598861,567.315232657838,0.11570269207213824
500.61481418795915,0.49208042926118145,487.9330907401977,0.7539321317435608,568.1796265062849,0.12816811081572066
501.46736702478347,0.48022411620620586,488.5725053678159,0.7680973803158135,569.0677023779768,0.139726953650679
502.31991986160773,0.46824031591408,489.3281772004556,0.783127996800844,569.9202552148012,0.15128579648563723
503.17247269843205,0.45619277200337893,490.09999586712615,0.7981135420404173,570.3110085983457,0.16278089570202037
504.0250255352563,0.44433645894840335,490.89764946824585,0.8116387789271784,570.7372850167578,0.17387228533409438
504.8775783720806,0.43260763313057804,491.80510154077473,0.8251833320619925,571.1635614351699,0.18509116220331856
505.73013120890494,0.42138875626135386,492.657654377599,0.8387819706913551,571.5898378535821,0.19624629545396766
506.5945250573518,0.41011321839784054,493.4359317778818,0.851878386871338,572.0161142719942,0.20746517232319184
507.63653408013704,0.3985543755628822,494.20882690015435,0.866007578447225,572.4423906904063,0.21868404919241613
508.51276894020646,0.386542244773612,495.1797898532042,0.8791699274205623,572.9278721669314,0.23061118849025297
509.56661897461424,0.37432046830547216,496.2648571000715,0.8904954299790395,573.3541485853435,0.24296328524525734
510.6323100206447,0.3615717445904447,497.5049339536341,0.9021315378062101,573.7212199456428,0.2550179117802446
511.69800106667503,0.3488740157702772,498.6965703051045,0.9142119193386014,574.3014295151482,0.26778080074384436
512.7636921127054,0.3363802665295502,499.84945425490093,0.9252646764745691,574.846116049786,0.2806995074417389
513.8293831587357,0.3238355223939632,501.3607979201804,0.9374570922456682,575.2558150519266,0.29344256505733746
514.9822671085323,0.3106834754195875,503.17247269843205,0.9486759691148925,575.6820914703387,0.30690521730040665
516.0673343553996,0.2990520034919496,505.1972856858897,0.960312076942063,576.1083678887509,0.3204188644383358
517.1330254014299,0.28813909599188614,507.5418059871566,0.9695838760075376,576.534644307163,0.33388151668140487
518.3052855520633,0.2765632548586411,509.8863262884234,0.9778357771758099,576.9609207255752,0.3473951638193341
519.4775457026967,0.264936418830536,512.2308465896903,0.9836306515917316,577.3871971439874,0.3608578160624031
520.6498058533302,0.25391302239160884,514.5753668909571,0.9887765000730699,577.8134735623995,0.37432046830547216
522.0188089663077,0.24294585109316846,516.9198871922239,0.9933196816151525,578.2397499808117,0.3879361052331216
523.2429873986707,0.23224019207606195,519.2644074934907,0.9973529142086339,578.6660263992237,0.4015007472659109
524.7603284594474,0.2209423945362209,521.6089277947575,0.9986509660778004,579.092302817636,0.41521837398328054
526.0137841183497,0.20980243833761358,523.9534480960243,0.9986509660778004,579.518579236048,0.42919097517495064
527.5311251791263,0.19857749064757269,526.2979683972911,0.9986509660778004,579.9448556544602,0.4434185508409214
528.7845808380287,0.18732218885344842,528.642488698558,0.9986509660778004,580.3711320728723,0.45790110098119263
530.3475943722066,0.17809674878330117,530.9870089998249,0.9971211192319971,580.7974084912845,0.47238365112146397
532.6921146734734,0.17007664259166566,533.3315293010917,0.9929024506572062,581.2402623259683,0.48637891671084965
535.0366349747402,0.16136115147011953,535.6760496023585,0.9883592691151236,581.5976455858491,0.5007553562618161
537.3811552760071,0.15190391642333545,538.0205699036253,0.9832134206337853,582.076237746521,0.5158313015422777
539.7256755772739,0.14244668137655148,540.3650902048921,0.9772331102365541,582.5025141649331,0.5301098721031086
542.0701958785407,0.13294308733443994,542.7096105061589,0.968888491077627,582.9287905833453,0.5445924222433799
544.4147161798076,0.12339313429700127,544.9475617028227,0.960047830668697,583.3550670017574,0.5590749723836511
546.7592364810744,0.11388954025488984,546.8658055856774,0.9490584308263432,583.7979208364411,0.5727869330015919
549.1037567823412,0.1044786642034331,548.677480363929,0.9376837362228243,584.1553040963221,0.5870758055613843
551.448277083608,0.09803476385292831,550.8088624559898,0.9264700103530809,584.6338962569939,0.601604714696983
553.7927973848748,0.09358430030150056,553.1533827572566,0.9175690832502252,585.060172675406,0.6154243312040728
556.1373176861416,0.08658409200706718,555.2847648493173,0.9086166461525615,585.4864490938182,0.6292949426060228
558.4818379874084,0.07647783102569994,556.8587085480699,0.8965042689887798,585.9127255122303,0.6428595846388121
560.8263582886752,0.07063659761445096,558.4982332342705,0.8853638458039557,586.3390019306424,0.6565772113561816
563.170878589942,0.07054387962379616,560.2508851238189,0.8749373511471732,586.7904674101426,0.6707074331319649
565.515398891209,0.0691067507686477,562.3183257531178,0.8637411386756646,587.2081321837384,0.684295769762366
567.8599191924758,0.06405362027796402,564.2365696359725,0.8524656008121514,587.6430202469669,0.6979665223844602
570.2044394937426,0.059139566773262486,566.1548135188272,0.841133401954349,588.0606850205627,0.7114930470210914
572.5489597950094,0.05482818020781688,568.0730574016818,0.8298012030965469,588.3922333459943,0.7242417707361188
574.8934800962762,0.051397614553591264,569.8421045380923,0.8179250586935701,588.8753466201947,0.7388829716603994
577.238000397543,0.05116581957695432,571.0569923305669,0.8070194361784866,589.2536669415356,0.7518994185734424
579.5825206988098,0.05116581957695432,572.5489597950094,0.7949992109614605,589.7065856360985,0.7657572812516774
581.9270410000768,0.05116581957695432,573.9589510251419,0.7832956023993354,590.3815232985844,0.7785796642592807
584.2715613013436,0.05116581957695432,575.3197565146884,0.7718511711874606,591.0209379262026,0.7898552021227939
586.6160816026104,0.05116581957695432,576.5792095690879,0.7598094221511755,591.6603525538208,0.8010174179977292
588.9606019038772,0.051026742590972285,577.6642768159552,0.748877971052981,592.299767181439,0.8123496168555314
591.305122205144,0.047920689904038305,578.7299678619856,0.7379650635529174,592.9391818090572,0.8236251547190446
593.6496425064108,0.04365566233391993,579.815035108853,0.7270799714500503,593.5785964366755,0.8348440315882688
595.9941628076776,0.041523148548860744,581.0551119624155,0.715351145632225,594.182488029426,0.8464949485389468
598.3386831089445,0.04147678955353351,582.1595554101197,0.7035759608190723,595.070563901118,0.8584575009582143
600.6832034102113,0.03939063476380178,583.3996322636824,0.6921716479685385,596.6548912562165,0.8694299025022814
603.0277237114781,0.03438386326844545,584.4846995105496,0.6807487915198739,598.3968117114553,0.8804355279929996
605.3722440127449,0.030860579623565032,585.93023540231,0.6657475343050143,600.4700652010052,0.887945685236034
607.7167643140118,0.030767861632910343,587.6489821549167,0.6451778910128371,602.814585502272,0.8834488626892789
610.0612846152786,0.030767861632910343,588.8540327992741,0.6305698149775256,605.1591058035389,0.877375834301393
612.4058049165454,0.030767861632910343,589.9078828336819,0.6183423724099568,607.5036261048057,0.8681503942312458
614.7503252178122,0.030767861632910343,590.7722766821288,0.606245250129253,609.8481464060725,0.8587395181797891
617.0948455190791,0.030767861632910343,591.6248295189531,0.594643911548578,612.1926667073394,0.8500240270582431
619.4393658203459,0.030767861632910343,592.4773823557774,0.5827238548750272,614.5371870086062,0.841679407899316
621.7838861216128,0.030767861632910343,593.2233660879987,0.5713137471500775,616.881707309873,0.8357918154927395
