r,,g,,b,
X,Y,X,Y,X,Y
617.3425937251544,0.9259345949081238,598.8245367255824,0.5413810300334058,653.4955813100116,0.0476508830687703
620.3783407742645,0.9189852229369037,599.6047989836595,0.5257287062477602,656.5313283591217,0.05070341094397912
623.4140878233748,0.9109966925400804,600.7087070015178,0.50845269742211,659.5670754082319,0.05382088622078818
626.4498348724849,0.9018391089144537,601.8878814751391,0.491768431588817,662.602822457342,0.05732804590719842
629.485581921595,0.8922268934776258,603.1297779952297,0.4743147194560108,665.6385695064522,0.060835205593608443
632.5213289707051,0.8828095202455984,604.2336860130879,0.4580616322055635,668.6743165555623,0.06375783866561713
635.419087517583,0.8700148821303613,605.3375940309461,0.4416299396007157,671.7100636046725,0.0656413133120225
637.4252280500368,0.8544075219304389,606.4568341046079,0.42564476038186927,674.7458106537827,0.06557636591042237
640.5246621001774,0.8392298137718718,607.8060550153235,0.4092130677770215,677.7815577028928,0.06557636591042237
643.5604091492875,0.8235774899862263,609.0632835912177,0.39299570159745423,680.8173047520029,0.06642068213122487
646.4581676961653,0.8082888716495418,610.4431686135404,0.3767783354178872,683.853051801113,0.0694732100064337
648.9419607363463,0.7927680663521366,611.8230536358633,0.3609896220888813,686.8887988502232,0.07246079048004239
650.8462020671518,0.7786403828190556,613.0802822117573,0.34523266082287984,689.9245458993333,0.07414942292164728
653.6335698122439,0.7649234916010956,614.4448351782765,0.3279119104539051,692.9602929484436,0.07414942292164728
656.5313283591217,0.7496673469652113,615.937619884244,0.3097785959271323,695.8580514953214,0.07400653863812678
659.5670754082319,0.7349242868019685,617.3676825437421,0.29276237670788285,,
662.602822457342,0.7201162792371254,619.2376358224777,0.27623542791402156,,
665.6385695064522,0.7060876404914846,621.2275007880016,0.2608332348904364,,
668.6743165555623,0.6923187913522446,623.5144430977255,0.2460002475557469,,
671.7100636046725,0.6777056259922021,626.3118463702526,0.2311078083688236,,
674.7458106537827,0.6636120398449612,629.2096049171305,0.2167089694340617,,
677.7815577028928,0.6514668757457258,632.2453519662406,0.20313496249962226,,
680.8173047520029,0.6425041343248997,635.2810990153507,0.1914444302115883,,
683.853051801113,0.6347104461328771,638.3168460644608,0.18079305634915732,,
686.8887988502232,0.625747704712051,641.352593113571,0.17228494673953254,,
689.9245458993333,0.6160705418736229,644.3883401626812,0.1646861007523105,,
692.9602929484436,0.6063933790351947,647.4240872117913,0.15819136059229166,,
694.6161549752309,0.6028212719471844,650.4598342609015,0.15234609444827463,,
,,653.4955813100116,0.14773482893466117,,
,,656.5313283591217,0.14409777444505067,,
,,659.5670754082319,0.14273387901144663,,
,,662.602822457342,0.1437080900354495,,
,,665.6385695064522,0.1463059860994571,,
,,668.6743165555623,0.15046261980186915,,
,,671.7100636046725,0.15682746515868762,,
,,674.7458106537827,0.16604999618591454,,
,,677.7815577028928,0.17787042327714886,,
,,680.8173047520029,0.1906001139907858,,
,,683.853051801113,0.20196590927081892,,
,,686.8887988502232,0.2132667571492518,,
,,689.7865573971011,0.223677825625762,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
