# wavelength [nm], r, g, b
740.00000000,0.18130437,0.12416675,0.02951324
745.00000000,0.17721499,0.13066279,0.03114507
750.00000000,0.17033741,0.13273193,0.03099833
755.00000000,0.16249129,0.13367112,0.03097387
760.00000000,0.15274723,0.13275639,0.02954748
765.00000000,0.14605552,0.13398418,0.03016284
770.00000000,0.14733712,0.14062208,0.03450071
775.00000000,0.14904918,0.14438372,0.03701401
780.00000000,0.15190587,0.15114390,0.04313340
785.00000000,0.15170043,0.15689153,0.05289018
790.00000000,0.14480327,0.15735134,0.06529820
795.00000000,0.13506900,0.15388320,0.07932436
800.00000000,0.12935561,0.15205374,0.09130878
805.00000000,0.12951214,0.15569309,0.09990820
810.00000000,0.13259385,0.16379846,0.10799890
815.00000000,0.13352325,0.17087171,0.11428950
820.00000000,0.13484398,0.17836074,0.12016919
825.00000000,0.13539184,0.18286101,0.12317264
830.00000000,0.13854203,0.19001742,0.12763377
835.00000000,0.13838550,0.19133815,0.12713483
840.00000000,0.13654626,0.19080497,0.12470860
845.00000000,0.12912082,0.18340398,0.11972895
850.00000000,0.12008115,0.17288705,0.11368294
855.00000000,0.11348727,0.16458601,0.10813587
860.00000000,0.10999467,0.16001726,0.10485850
865.00000000,0.10954465,0.16000747,0.10515199
870.00000000,0.10929028,0.16015422,0.10522048
875.00000000,0.10817500,0.15856445,0.10426172
880.00000000,0.10976966,0.16150430,0.10704015
885.00000000,0.10760758,0.15882860,0.10651186
890.00000000,0.10382148,0.15314946,0.10335189
895.00000000,0.10008430,0.14717682,0.09880270
900.00000000,0.09437092,0.13859696,0.09160227
905.00000000,0.08982173,0.13220853,0.08649544
910.00000000,0.08315938,0.12308081,0.08137884
915.00000000,0.07679052,0.11417811,0.07688835
920.00000000,0.07052927,0.10495256,0.07165434
925.00000000,0.06623054,0.09828091,0.06699754
930.00000000,0.06355092,0.09415827,0.06329558
935.00000000,0.06186724,0.09156817,0.06081652
940.00000000,0.05973450,0.08825411,0.05854291
945.00000000,0.05782678,0.08534410,0.05706956
950.00000000,0.05507966,0.08146507,0.05484975
955.00000000,0.05223568,0.07737863,0.05207817
960.00000000,0.04832436,0.07158209,0.04802010
965.00000000,0.04441304,0.06569114,0.04408530
970.00000000,0.03991473,0.05894073,0.03964471
975.00000000,0.03609830,0.05308060,0.03551229
980.00000000,0.03287963,0.04821591,0.03198839
985.00000000,0.03066472,0.04514839,0.02985761
990.00000000,0.02831382,0.04189841,0.02764269
995.00000000,0.02577019,0.03836766,0.02536614
1000.00000000,0.02370887,0.03545716,0.02362669
1005.00000000,0.02098132,0.03149643,0.02121318
1010.00000000,0.01939252,0.02905210,0.01971537
1015.00000000,0.01763742,0.02639352,0.01792994
1020.00000000,0.01607504,0.02402647,0.01622081
1025.00000000,0.01497933,0.02233349,0.01499009
1030.00000000,0.01319389,0.01966170,0.01311954
1035.00000000,0.01169609,0.01743994,0.01160315
1040.00000000,0.01063461,0.01585946,0.01058569
1045.00000000,0.00897832,0.01341416,0.00901158
1050.00000000,0.00742670,0.01109407,0.00746583
1055.00000000,0.00604923,0.00901368,0.00603944
1060.00000000,0.00525581,0.00780398,0.00519907
1065.00000000,0.00451816,0.00668528,0.00440761
1070.00000000,0.00380105,0.00561597,0.00367387
1075.00000000,0.00347527,0.00512486,0.00334418
1080.00000000,0.00344299,0.00506958,0.00330700
1085.00000000,0.00317982,0.00467434,0.00305948
1090.00000000,0.00268283,0.00392886,0.00256837
1095.00000000,0.00298709,0.00438036,0.00287263
1100.00000000,0.00249108,0.00364759,0.00238542
