# wavelength [nm], r, g, b
900.00000000,0.63918179,0.62177896,0.66069357
905.00000000,0.62214340,0.60546293,0.64007084
910.00000000,0.60625386,0.59162388,0.62162887
915.00000000,0.59245158,0.57635798,0.60536027
920.00000000,0.57750045,0.56087025,0.58774744
925.00000000,0.56309891,0.55054894,0.57209720
930.00000000,0.55080392,0.53711995,0.55726216
935.00000000,0.53705319,0.51958758,0.54438613
940.00000000,0.52215049,0.50812748,0.52654962
945.00000000,0.50909549,0.49445280,0.51209384
950.00000000,0.49341593,0.47691152,0.49718848
955.00000000,0.47495902,0.45904854,0.47722392
960.00000000,0.45881027,0.44536138,0.46375671
965.00000000,0.44335680,0.42893679,0.44880736
970.00000000,0.42196751,0.40770036,0.42732030
975.00000000,0.40376725,0.39028538,0.40923608
980.00000000,0.38661426,0.37337040,0.39217899
985.00000000,0.36503887,0.35142013,0.37036959
990.00000000,0.34517410,0.33202597,0.34977357
995.00000000,0.32554662,0.31290742,0.32936781
1000.00000000,0.30502896,0.29557036,0.31236118
